,GeneName,Slope,P-value,FDR
1251,ELOVL1,-0.0022866346456348148,0.9601235171070945,1.0
1252,MED8,0.032160798838002984,0.3818274811165778,0.7569328821597959
1253,RP1-92O14.6,0.1174462913919895,0.10084863016985254,0.42556453723680837
1254,SZT2,-0.013762644812581276,0.6185351737187954,0.8859260711965494
1255,SZT2-AS1,0.0023877361964880824,0.8618032206346603,1.0
1256,HYI-AS1,0.0268812287901853,0.44661750363013186,0.800266506990466
1257,PTPRF,0.03595222726385608,0.7224922976367445,0.9397282721196742
1258,KDM4A,0.017724444931925234,0.5819666053289142,0.865451400656935
1259,KDM4A-AS1,0.16126731608473183,0.01787196471513596,0.16191708050528011
1260,ST3GAL3,-0.0902765259579755,0.09397502502453435,0.41042276529115035
1261,RP11-184I16.4,0.07084497952593105,0.3555645638279028,0.735660860655966
1262,RP11-184I16.3,-0.007685458214240208,0.7456942784984864,0.9507077830264002
1263,MIR6079,-0.0021121881728412575,0.4768112374906375,0.800266506990466
1264,SHMT1P1,0.004811433572258339,0.9015945604050184,1.0
1265,ARTN,-0.11104970566920438,0.23646695295539855,0.6260706990153547
1266,RP11-7O11.3,0.12083633894223911,0.15388532093782836,0.5212801851999581
1267,IPO13,-0.08263023774725686,0.008942457096384701,0.10729376215512827
1268,DPH2,-0.040629828630468975,0.30003758150125354,0.6946191071987872
1269,ATP6V0B,0.03362343489037867,0.5398229117414279,0.8404310289555367
1270,B4GALT2,-0.11459943823314285,0.13584551610054987,0.49695769442284893
1271,CCDC24,-0.0899656000174128,0.09615590761062548,0.4145177605412006
1272,SLC6A9,0.10162356879645702,0.43858498959130066,0.800266506990466
1273,RP5-1198O20.4,-0.36207050973299953,0.0032331820480609305,0.05858143855550691
1274,RP5-1198O20.5,0.006510681641387439,0.5820916932084432,0.8654763991575223
1275,KRT8P47,0.0,,1.0
1276,RN7SL479P,-0.0040610756021289395,0.5837876170547074,0.8662951857960419
1277,KLF17,0.11600431944755815,0.0446756311950156,0.27613944618915537
1278,RP11-570P14.1,-0.06512135994098314,0.25528252081808606,0.6463699910255069
1279,KLF18,-0.003892046579753806,0.8192552555859256,0.9829924434393951
1280,RP4-675G8.3,0.014238915890745623,0.35620316947676145,0.7361388335885585
1281,OOSP1P1,-0.005924208371826844,0.38464876195037623,0.7595032267214605
1282,RP5-891H21.1,-0.002326954478216036,0.7208366622768532,0.9389354480378691
1283,RP5-891H21.5,0.011536915201041845,0.6789637134795652,0.9178384272552601
1284,DMAP1,-0.09246471773780486,0.0004717044057493697,0.01868743608031175
1285,ERI3,-0.07778933084852055,0.06520768965512126,0.3382250065227914
1286,ERI3-IT1,0.08893510497915262,0.22945847073571643,0.618877762741813
1287,RNU6-369P,-0.0018498324796677517,0.47681123749063814,0.800266506990466
1288,RNF220,-0.09080064723305628,0.0010769751224156494,0.03044782275276176
1289,MIR5584,0.0,,1.0
1290,TMEM53,-0.014113359389296996,0.7436007519508201,0.9497748231118323
1291,C1orf228,-0.0889939187129772,0.10698654276560315,0.4393283323546615
1292,RNU5F-1,-0.03539951079450894,0.4956218158491805,0.8128150135435732
1293,RNU5D-1,-0.064812393839649,0.046226043225940025,0.2817430112527094
1294,KIF2C,-0.10412982521186706,0.4557278356574218,0.800266506990466
1295,RP11-269F19.2,-0.033699563397922704,0.6146549822702354,0.8836838931869981
1296,RPS8,-0.11280613023585835,0.033329999221415885,0.2328280636590577
1297,SNORD46,-0.2271861508191546,0.006549242646157067,0.08869666448499297
1298,SNORD38A,-0.024719910822921687,0.22354414016139315,0.6117870468819007
1299,RPS15AP11,-0.09539134398124967,0.2744834564734477,0.6687464120943659
1300,BEST4,0.01631055888136104,0.8424126513081948,0.9924957370273982
1301,PLK3,-0.20144704023071866,0.0025069987935060225,0.050180031040799405
1302,TCTEX1D4,0.14160906102792975,0.224560259874593,0.613174296357414
1303,BTBD19,0.18407398388038665,0.07793939475377241,0.3719114598000162
1304,PTCH2,0.04496471322247566,0.4430733026191004,0.800266506990466
1305,RP5-882O7.1,-0.08995218003974265,0.23905513714375118,0.6287881496965388
1306,EIF2B3,-0.11898521018403935,0.008681992310941397,0.10539633627727657
1307,RNA5SP47,-0.0036563758764609996,0.47681123749063814,0.800266506990466
